alcaldia,eci,c_p,colonia,negocio,categoria,porcentaje_infectados,num_empleados
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comidallevar,restaurantes,0.1573,2
azcapotzalco,3.8655088585,2459,tezozomoc,abarrotesmateriasprimas,comida,0.1303,3
azcapotzalco,3.8655088585,2120,san martin xochinahuac,floricultor_cambaceotelefono,industria,0.17980000000000002,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,panaderia,comida,0.17980000000000002,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,uber_chocolateriaregalos,industria,0.1573,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,envolturasregalos,ventaproductos,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,ropabebes,ropa,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,verdurafruta_frutaverdura,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,polleria,restaurantes,0.1528,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,autoempleada_lavanderíaplanchaduría,arreglosgeneral,0.1573,3
azcapotzalco,3.8655088585,2100,el rosario,artistauas_aplicacionuasacrilicas,arreglosgeneral,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,casa_chetoschicharrones,restaurantes,0.1528,1
azcapotzalco,3.8655088585,2100,el rosario,vendozapatocatalogo,ventaproductos,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,regaloscosmeticos,belleza,0.17980000000000002,0
azcapotzalco,3.8655088585,2120,san martin xochinahuac,impresor,arreglosgeneral,0.17980000000000002,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,administracionempresas,industria,0.17980000000000002,1
miguel hidalgo,4.1527924150999995,11400,popotla,encargado_esteticacaninaalimentoarticulosmascota,mascotas,0.1528,4
azcapotzalco,3.8655088585,2120,san martin xochinahuac,ingenieromecanico_tallermotos,industria,0.17980000000000002,1
azcapotzalco,3.8655088585,2100,el rosario,vulcanizadora_llantas,industria,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,pinturas,arreglosgeneral,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,alimentos,restaurantes,0.17980000000000002,1
azcapotzalco,3.8655088585,2459,tezozomoc,papeleria,papeleria,0.1303,1
azcapotzalco,3.8655088585,2100,el rosario,cafeteria,restaurantes,0.1573,2
